minor,average rssi(mW),dBm
row4,2.513628e-07,-66.00
row5,5.002342e-06,-53.01
row6,4.965464e-07,-63.04
row7,9.521374e-08,-70.21
row8,4.569185e-08,-73.40
time range,11:02:58,11:03:08
row1,1.176865e-07,-69.29
row2,1.188785e-06,-59.25
row3,4.496577e-06,-53.47
row4,1.566815e-06,-58.05
row5,4.699374e-06,-53.28
row6,4.507914e-07,-63.46
row7,2.201912e-08,-76.57
row8,1.317492e-07,-68.80
time range,11:03:15,11:03:25
row1,5.444439e-07,-62.64
row2,4.233695e-07,-63.73
row3,3.641515e-06,-54.39
row4,2.564588e-06,-55.91
row5,1.819025e-05,-47.40
row6,4.570101e-07,-63.40
row7,2.053845e-08,-76.87
row8,6.647770e-08,-71.77
time range,11:03:29,11:03:39
row1,5.240810e-07,-62.81
row2,1.315070e-07,-68.81
row3,3.058501e-06,-55.14
row4,1.671277e-06,-57.77
row5,1.421909e-05,-48.47
row6,3.102338e-06,-55.08
row7,6.824592e-08,-71.66
row8,6.169417e-08,-72.10
time range,11:04:00,11:04:10
row1,2.167470e-07,-66.64
row2,3.746476e-07,-64.26
row3,1.186119e-06,-59.26
row4,6.150836e-06,-52.11
row5,1.129463e-05,-49.47
row6,5.462886e-07,-62.63
row7,6.874834e-08,-71.63
row8,6.102513e-08,-72.14
time range,11:04:20,11:04:30
row1,1.528647e-07,-68.16
row2,2.204016e-07,-66.57
row3,4.348228e-06,-53.62
row4,2.326862e-06,-56.33
row5,2.820582e-05,-45.50
row6,2.117809e-06,-56.74
row7,4.325106e-08,-73.64
row8,1.414602e-07,-68.49
time range,11:04:46,11:04:56
row1,4.501979e-07,-63.47
row2,1.825570e-07,-67.39
row3,6.067444e-06,-52.17
row4,3.553087e-06,-54.49
row5,4.462762e-05,-43.50
row6,2.073122e-06,-56.83
row7,1.030715e-07,-69.87
row8,3.645935e-08,-74.38
time range,11:05:05,11:05:15
row1,2.694401e-07,-65.70
row2,2.300298e-07,-66.38
row3,1.255059e-06,-59.01
row4,1.195577e-05,-49.22
row5,2.845854e-05,-45.46
row6,5.677658e-06,-52.46
row7,9.024517e-08,-70.45
row8,1.006042e-07,-69.97
time range,11:05:19,11:05:29
row1,3.520900e-07,-64.53
row2,1.683660e-07,-67.74
row3,2.362283e-06,-56.27
row4,1.493235e-05,-48.26
row5,4.172012e-05,-43.80
row6,6.208881e-06,-52.07
row7,4.620398e-08,-73.35
row8,5.722608e-08,-72.42
time range,11:05:32,11:05:42
row1,1.439100e-07,-68.42
row2,1.908290e-07,-67.19
row3,3.687827e-06,-54.33
row4,2.201912e-05,-46.57
row5,4.187826e-05,-43.78
row6,1.349505e-06,-58.70
row7,8.884685e-08,-70.51
row8,8.112486e-08,-70.91
time range,11:05:55,11:06:05
row1,2.745454e-07,-65.61
row2,1.503401e-07,-68.23
row3,1.220079e-06,-59.14
row4,3.268650e-06,-54.86
row5,1.258312e-04,-39.00
row6,1.212011e-05,-49.16
row7,1.110410e-07,-69.55
row8,2.042007e-07,-66.90
time range,11:06:09,11:06:19
row1,2.180942e-07,-66.61
row2,2.030681e-07,-66.92
row3,1.317248e-06,-58.80
row4,1.749041e-05,-47.57
row5,3.160375e-04,-35.00
row6,5.273515e-06,-52.78
row7,3.431104e-07,-64.65
row8,9.118550e-08,-70.40
time range,11:06:23,11:06:33
row1,2.113851e-07,-66.75
row2,1.231157e-07,-69.10
row3,3.306728e-06,-54.81
row4,3.776373e-05,-44.23
row5,2.263177e-04,-36.45
